BOROUGH,NEIGHBORHOOD,TAX CLASS AT PRESENT,BLOCK,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,MORRISANIA/LONGWOOD,1,2611,B,10456,2,0,2,2059,1956,1901,1,B,703101,2017-08-28
3,GOWANUS,2A,407,S,11217,3,1,4,1453,4356,1931,2,S,3200000,2017-08-08
2,THROGS NECK,1,5519,C,10465,3,0,3,2400,3400,1990,1,C,634267,2016-09-19
5,PORT RICHMOND,1,1039,B,10302,2,0,2,2500,1734,1920,1,B,189000,2016-11-23
4,DOUGLASTON,1,8209,A,11362,1,0,1,4000,2504,1975,1,A,980000,2017-04-20
3,GOWANUS,1,423,B,11217,2,0,2,2000,2100,1901,1,B,1530000,2016-11-30
3,BATH BEACH,1,6435,C,11214,3,0,3,2812,4215,1997,1,C,1800000,2017-07-12
2,FORDHAM,1,3145,A,10457,1,0,1,1229,1384,1901,1,A,150000,2016-12-27
4,BELLE HARBOR,1,16224,B,11694,2,0,2,3325,2138,1920,1,B,850000,2016-12-12
4,MIDDLE VILLAGE,1,3788,C,11379,3,0,3,3000,1940,1920,1,C,950000,2017-02-23
4,REGO PARK,1,3156,A,11374,1,0,1,2242,1354,1945,1,A,956000,2017-01-31
3,SHEEPSHEAD BAY,1,7410,B,11229,2,0,2,2342,2340,1960,1,B,700000,2016-10-25
3,SUNSET PARK,1,5809,B,11220,2,0,2,2000,3060,1901,1,B,540000,2017-07-27
2,MORRISANIA/LONGWOOD,1,2715,A,10459,1,0,1,3000,1500,1920,1,A,415000,2017-01-30
3,BROWNSVILLE,1,3531,B,11212,2,0,2,1375,1950,2004,1,B,534900,2016-11-04
3,BENSONHURST,1,5553,B,11204,2,0,2,1872,1810,1925,1,B,950000,2016-11-30
3,SUNSET PARK,1,873,A,11215,1,0,1,1024,1440,1920,1,A,2075000,2016-09-12
4,REGO PARK,1,3091,A,11374,1,0,1,2400,1344,1925,1,A,800000,2016-09-30
3,SHEEPSHEAD BAY,1,8781,B,11235,2,0,2,2430,1612,1925,1,B,700000,2016-11-07
5,ELTINGVILLE,1,5357,A,10312,1,0,1,4000,1925,1965,1,A,684000,2016-12-15
3,FLATBUSH-EAST,1,4880,B,11203,2,0,2,3100,2600,1920,1,B,350000,2017-05-04
3,BUSHWICK,1,3205,B,11221,2,0,2,1880,2316,1910,1,B,928500,2016-10-31
1,HARLEM-CENTRAL,1,1717,C,10026,3,0,3,1615,3328,1909,1,C,1730000,2017-05-30
4,FLUSHING-NORTH,1,5384,A,11355,1,0,1,4595,1320,1930,1,A,950000,2017-06-27
5,RICHMONDTOWN,1,2247,A,10306,1,0,1,5000,380,1920,1,A,967745,2016-12-20
2,THROGS NECK,4,5435,O,10465,0,1,1,5930,950,1959,4,O,1400000,2017-07-17
4,SO. JAMAICA-BAISLEY PARK,1,12194,A,11434,1,0,1,2000,1218,1935,1,A,355000,2016-10-21
4,BEECHHURST,1,4574,B,11357,2,0,2,6208,3242,1920,1,B,880000,2017-08-24
2,SCHUYLERVILLE/PELHAM BAY,1,5396,A,10461,1,0,1,2275,2160,2001,1,A,375000,2016-09-27
1,MANHATTAN VALLEY,2,1842,C,10025,10,2,12,1875,7540,1900,2,C,4554000,2017-08-17
3,OLD MILL BASIN,1,7875,A,11234,1,0,1,2500,2250,2016,1,A,650000,2017-04-24
5,MANOR HEIGHTS,1,754,A,10314,1,0,1,6237,1330,1965,1,A,715000,2017-01-04
4,FLUSHING-NORTH,1,5410,B,11355,2,0,2,3000,1674,1930,1,B,950000,2016-11-04
2,WILLIAMSBRIDGE,1,4677,C,10467,3,0,3,2005,3081,2007,1,C,731000,2017-01-17
2,KINGSBRIDGE/JEROME PARK,4,3258,K,10463,0,1,1,1400,1125,1920,4,K,565000,2016-12-30
2,WESTCHESTER,1,3977,A,10461,1,0,1,2965,864,1910,1,A,400000,2017-07-10
4,WOODHAVEN,1,8902,B,11421,2,0,2,2800,2320,1920,1,B,650000,2016-12-22
3,BERGEN BEACH,1,8441,A,11234,1,0,1,4000,1128,1930,1,A,680000,2017-04-27
3,BEDFORD STUYVESANT,1,1605,C,11221,3,0,3,1875,3332,1899,1,C,1125000,2016-11-18
5,STAPLETON,1,530,B,10304,2,0,2,4800,2544,1920,1,B,530000,2017-01-18
2,BELMONT,1,3057,C,10458,3,0,3,1491,3077,2005,1,C,500000,2017-06-12
3,MIDWOOD,1,6768,A,11210,1,0,1,2000,1485,1920,1,A,705000,2017-08-16
4,FLUSHING-NORTH,1,4827,A,11354,1,0,1,4200,1326,1925,1,A,838000,2016-12-14
4,RICHMOND HILL,1,9487,B,11419,2,0,2,5625,1969,1910,1,B,570000,2017-05-31
4,GLENDALE,2A,3695,C,11385,4,0,4,2420,3040,1931,2,C,825000,2017-07-06
3,GERRITSEN BEACH,1,8914,A,11229,1,0,1,1440,1216,1955,1,A,500000,2017-04-05
4,FRESH MEADOWS,1,7109,B,11365,2,0,2,2600,1655,1940,1,B,650000,2016-11-08
2,EAST TREMONT,1,2954,C,10460,3,0,3,1881,3200,1899,1,C,595000,2017-05-08
5,PORT RICHMOND,1,1029,B,10302,2,0,2,2500,1810,1940,1,B,240000,2016-10-20
3,OCEAN HILL,2A,1477,S,11233,4,1,5,2292,4290,1927,2,S,1625000,2017-01-20
3,WILLIAMSBURG-CENTRAL,2A,2224,C,11249,6,0,6,3000,4950,1931,2,C,3704000,2017-08-07
4,LONG ISLAND CITY,1,342,B,11106,2,0,2,1665,1324,1920,1,B,750000,2016-10-17
5,WEST NEW BRIGHTON,1,158,A,10310,1,0,1,7176,1360,1899,1,A,420000,2017-05-11
4,HOLLIS,1,10557,A,11428,1,0,1,2600,1216,1925,1,A,25000,2016-10-14
3,CYPRESS HILLS,2A,3958,S,11208,4,1,5,2221,4326,1927,2,S,640000,2017-03-10
